#,Organization,Ward,Service Area,# of Grants,Total Allocations,AEHR,CLI,CR,CSI,CFSE,CFSE   Pan Am,ENF,CSP,CBIP,GameOn,StART,HER,HIF,INI,LASO,MCO,MUS,SDIP,SNP,TAC,OTHER
,,,,,,,,,,,,,,,,,,,,,,,,,,
270,"Gatehouse Child Abuse Investigation and Support Site, The",6,City-wide,1,23045,,,,,,,,23045,,,,,,,,152220,,,,,
271,George R. Gardiner Museum of Ceramic Art/Gardiner Museum,27,City-wide,1,152220,,,,,,,,,,,,,,,,,,,,,
272,George S. Syme Seniors Centre of York,11,Area services,1,87325,,,,,,,,87325,,,,,,,,,,40000,,,
273,G.E.T (Grassroots Education and Training) Schooled (ArtReach Toronto/Tides Canada),20,City-wide,1,40000,,,,,,,,,,,,,,,,,,,,11000,
274,Girls in Bow Ties,7,City-wide,1,11000,,,,,,,,,,,,,,,,,,,,6000,
275,Girls Rock Camp Toronto,20,City-wide,1,6000,,,,,,,,,,,,,,,,,,,,1775,
276,Glad Day Bookshop Proud Voices Collective,27,City-wide,1,1775,,,,,,,,,,,,,,,,,,,,,15000
277,Glenn Gould Foundation,28,City-wide,1,15000,,,,,,,,,,,,,,,,,,,,3000,
278,Golden Age,18,City-wide,1,3000,,,,,,,,,,,,,,,,,,30000,,,
279,Grace Hartman Wilcox Creek Coop Advisory Committee,42,Area services,1,30000,,,,,,,,,,,,,,,,,,,,,
280,Grassroots Canada Basketball,8,City-wide,1,10738,,,,,,,,,,10738,,,,,,,,,,,
281,Greenest City,14,Area services,1,20000,,,,,,,,,,,20000,,,,,,,,,,
282,GreenHere,18,Area Services,1,12000,,,12000,,,,,,,,,,,,,,,,,9000,
283,group of 27,27,Local,1,9000,,,,,,,,,,,,,,,,,,,,2000,
284,Hand Eye Society,27,City-wide,1,2000,,,,,,,,,,,,,,,,,,,,285000,
285,Harbourfront Centre,20,City-wide,1,285000,,,,,,,,,,,,,,,,,,,,,
286,Harbourfront Community Centre - City Of Toronto,20,Area services,3,110415,,,25000,,,,,68915,,,16500,,,,,,,,,,
287,Harmony Hall Centre for Seniors,31,Area Services,1,96075,,,,,,,,96075,,,,,,,,,,,,,
288,Harriet Tubman Community Organization,33,Local,2,68875,,,,,,20000,,48875,,,,,,,,,,,,3500,
289,Health Arts Society of Ontario,28,Local,1,3500,,,,,,,,,,,,,,,,,,,,1000,
290,Heretical Objects Cooperative,21,City-wide,1,1000,,,,,,,,,,,,,,,,,,,,,
291,Heritage - 290 Annette Street,13,Local,1,6750,,,,,,,,,,,,6750,,,,,,,,,
292,Heritage - 114 Bedford Road,20,Local,1,10000,,,,,,,,,,,,10000,,,,,,,,,
293,Heritage - 169 Blythwood Road,25,Local,1,3400,,,,,,,,,,,,3400,,,,,,,,,
294,Heritage - 285 Carlton Street,28,Local,1,7500,,,,,,,,,,,,7500,,,,,,,,,
295,Heritage - 97 Cluny Drive,27,Local,1,10000,,,,,,,,,,,,10000,,,,,,,,,
296,Heritage - 10 Geneva Avenue,28,Local,1,10000,,,,,,,,,,,,10000,,,,,,,,,
297,Heritage - 14 Geneva Avenue,28,Local,1,10000,,,,,,,,,,,,10000,,,,,,,,,
298,Heritage - 30 Geneva Avenue,28,Local,1,5340,,,,,,,,,,,,5340,,,,,,,,,
299,Heritage - 32 Geneva Avenue,28,Local,1,5340,,,,,,,,,,,,5340,,,,,,,,,
300,Heritage - 40 Glen Road,27,Local,1,49500,,,,,,,,,,,,49500,,,,,,,,,
301,Heritage - 88 Hazelton Avenue,27,Local,1,8800,,,,,,,,,,,,8800,,,,,,,,,
302,Heritage - 90 Hazelton Avenue,27,Local,1,8800,,,,,,,,,,,,8800,,,,,,,,,
303,Heritage - 238 Robert Street,20,Local,1,10000,,,,,,,,,,,,10000,,,,,,,,,
304,Heritage - 32 Salisbury Avenue,28,Local,1,10000,,,,,,,,,,,,10000,,,,,,,,,
305,Heritage - 14 Wellesley Avenue,28,Local,1,7900,,,,,,,,,,,,7900,,,,,,,,,
306,Heritage - 16 Wellesley Avenue,28,Local,1,7900,,,,,,,,,,,,7900,,,,,,,,,
307,Heritage - 17 Wellesley Avenue,28,Local,1,10000,,,,,,,,,,,,10000,,,,,,,,,
308,Heritage - 19 Wellesley Avenue,28,Local,1,10000,,,,,,,,,,,,10000,,,,,,,,,
309,Heritage - 82 West Avenue,30,Local,1,10000,,,,,,,,,,,,10000,,,,,,,,,
310,Hispanic Canadian Heritage Council (The),8,City Wide,1,175000,,175000,,,,,,,,,,,,,,,,,,,
311,Hispanic Development Council,20,City-wide,1,55425,,,,,,,,55425,,,,,,,,,,,,,
312,Hong Fook Mental Health Association,41,City-wide,1,23045,,,,,,,,23045,,,,,,,,,,,,2500,
313,Hogtown Collective,29,City-wide,1,2500,,,,,,,,,,,,,,,,,,,,5000,
314,Hope and Hell Theatre Company,20,City-wide,1,5000,,,,,,,,,,,,,,,,,,,,,
315,Hope House Youth Charities,16,City-wide,1,11625,,,,,,,,,,11625,,,,,,,,,,98000,
316,Hot Docs Canadian International Documentary Festival,20,City-wide,1,98000,,,,,,,,,,,,,,,,,,,,13000,
317,Human Cargo,30,Local,1,13000,,,,,,,,,,,,,,,,,,,,,
318,Humber Community Seniors' Services Inc.,11,Area services,1,35375,,,,,,,,35375,,,,,,,,,,,,10000,
319,I-Insight,20,City-wide,1,10000,,,,,,,,,,,,,,,,,,,,5000,
320,IFT (IT¡¯S A FREEDOM THING) THEATRE,23,Local,1,5000,,,,,,,,,,,,,,,,,,,,65000,
321,imagineNATIVE Film + Media Arts Festival,20,City,1,65000,,,,,,,,,,,,,,,,,,,,6500,
322,IMPACT 'n Communities,43,Local,1,6500,,,,,,,,,,,,,,,,,,,,7000,
323,Independent Auntie Productions,27,City-wide,1,7000,,,,,,,,,,,,,,,,,,,,60000,
324,Indigenious Performing Arts Alliance,28,City-wide,1,60000,,,,,,,,,,,,,,,,,,,,8000,
325,Indigenious Routes,18,City-wide,1,8000,,,,,,,,,,,,,,,,,,,,15000,
326,Indigenious Writers' Gathering Collective,31,City-wide,1,15000,,,,,,,,,,,,,,,,,,,,46500,
327,Inner City Angels,28,City-wide,1,46500,,,,,,,,,,,,,,,,,,,,62000,
328,Inside Out Lesbian and Gay Film Festival,20,City-wide,1,62000,,,,,,,,,,,,,,,,,,,,51000,
329,InterAccess ,19,City-wide,1,51000,,,,,,,,,,,,,,,,,,,,195000,
330,International Readings at Harbourfront,20,City-wide,1,195000,,,,,,,,,,,,,,,,,,,,2000,
331,International Resource Centre for Performing Artists,28,City-wide,1,2000,,,,,,,,,,,,,,,,,,,,3000,
332,Invention Squad,19,Local,1,3000,,,,,,,,,,,,,,,,,,,,15000,
333,Ipsita Nova Dance Projects,19,City-wide,1,15000,,,,,,,,,,,,,,,,,,,,6000,
334,Iranian Canadian Centre for the Arts,24,City-wide,1,6000,,,,,,,,,,,,,,,,,,,,,
335,Iranian Women's Organization of Ontario,33,City-wide,1,33670,,,,,,,,33670,,,,,,,,,,,,,
336,Islington Centre - Etobicoke Senior Citizens,5,Area services,1,34005,,,,,,,,34005,,,,,,,,,,,,25000,
338,Ismailova Theatre of Dance,10,Local,1,25000,,,,,,,,,,,,,,,,,,,,8000,
339,Isshin Daiko,19,City-wide,1,8000,,,,,,,,,,,,,,,,,,,,5000,
340,IVI Magazine,43,Local,1,5000,,,,,,,,,,,,,,,,,,,,12000,
341,Jamii Esplanade,28,Local,1,12000,,,,,,,,,,,,,,,,,,,,,
342,Jane Finch Community and Family Centre,8,Local,2,183240,,,,,,30000,,153240,,,,,,,,,,,,,
343,Jane Finch Panam Host Committee,11,City-wide,1,38000,,,,,,38000,,,,,,,,,,,,,,,
344,Japanese Canadian Cultural Centre,26,City-wide,1,39000,,,,,,,,,39000,,,,,,,,,,,,
345,Japanese Social Services,26,City-wide,1,28805,,,,,,,,28805,,,,,,,,,,,,6000,
346,Jayu,20,City-wide,1,6000,,,,,,,,,,,,,,,,,,,,7000,
347,JD Dance,27,City-wide,1,7000,,,,,,,,,,,,,,,,,,,,,
348,Jessie's - The June Callwood Centre for Young Women and Families,28,City-wide,1,21630,,,,,,,,21630,,,,,,,,,,,,2000,
349,Jeunessess Musicales Ontario,20,City-wide,1,2000,,,,,,,,,,,,,,,,,,,,,
350,John Howard Society of Toronto,27,City-wide,2,53250,,,,40000,,,,13250,,,,,,,,,,,,5000,
351,Jubilate Singers,28,City-wide,1,5000,,,,,,,,,,,,,,,,,,,,68000,
352,Jumblies Theatre,20,Area services,1,68000,,,,,,,,,,,,,,,,,,,,2500,
353,JunctQin Keyboard Collective,27,City-wide,1,2500,,,,,,,,,,,,,,,,,,,,,
354,Just Bgraphic Inc,7,Local,2,44000,,,,,7000,37000,,,,,,,,,,,,,,5000,
355,Justina M. Barnicke Gallery,20,City-wide,1,5000,,,,,,,,,,,,,,,,,,,,,
356,Kababayan Community Service Centre Inc.,14,City-wide,1,33215,,,,,,,,33215,,,,,,,,,,,,60900,
357,Kaeja d'Dance,20,City-wide,1,60900,,,,,,,,,,,,,,,,,,,,32000,
358,Kaha:wi Dance Theatre,20,City-wide,1,32000,,,,,,,,,,,,,,,,,,,,8000,
359,Kaisoca Pass De Torch,42,City-wide,1,8000,,,,,,,,,,,,,,,,,,,,10000,
360,Kapisanan Philippine Centre for Arts and Culture,20,City-wide,1,10000,,,,,,,,,,,,,,,,,,,,6000,
361,KasheDance,14,City-wide,1,6000,,,,,,,,,,,,,,,,,,,,,
362,KCWA Family and Social Services,20,City-wide,1,39240,,,,,,,,39240,,,,,,,,,,,,5000,
363,Kemi Contemporary Dance Projects,18,City-wide,1,5000,,,,,,,,,,,,,,,,,,,,13500,
364,Keys To The Studio,14,City-wide,1,13500,,,,,,,,,,,,,,,,,,,,10000,
365,Kick Start Arts Society,2,Local,1,10000,,,,,,,,,,,,,,,,,,,,3500,
366,kith & kin,28,City-wide,1,3500,,,,,,,,,,,,,,,,,,,,6000,
367,kiy collective,14,Local,1,6000,,,,,,,,,,,,,,,,,,,,50000,
368,Koffler Gallery,19,City-wide,1,50000,,,,,,,,,,,,,,,,,,,,17000,
369,Korean Dance Studies Society,27,City-wide,1,17000,,,,,,,,,,,,,,,,,,,,,
370,"Korean Senior Citizens Society of Toronto, The",19,City-wide,1,22150,,,,,,,,22150,,,,,,,,,,,,,
371,LA Centre for Active Living 55+,18,City-wide,1,21685,,,,,,,,21685,,,,,,,,,,,,,
372,Lakeshore Area Multi-Service Project (LAMP),6,Local,1,79735,,,,,,,,79735,,,,,,,232430,,,,,,
373,Lakeshore Arts Committee,6,Local,1,232430,,,,,,,,,,,,,,,,,,,,,
374,Lakeshore Village Action Group,6,City-wide,1,27000,,,,,,27000,,,,,,,,,,,,,,,
375,Lao Association of Ontario,9,City-wide,1,31110,,,,,,,,31110,,,,,,,,,,,,5500,
376,Las Perlas del Mar Productions Inc,20,City-wide,1,5500,,,,,,,,,,,,,,,,,,,,29000,
377,Latin American Art Projects,21,City-wide,1,29000,,,,,,,,,,,,,,,,,,,,8000,
378,Latin St. Music,9,Local,1,8000,,,,,,,,,,,,,,,,,,,,,
379,Latvian Canadian Cultural Centre,34,City-wide,1,25000,,,,,,,,,25000,,,,,,,,,,,,
380,Latvian Senior Citizen's Association,34,City-wide,1,11075,,,,,,,,11075,,,,,,,,,,,,18000,
381,Le Laboratoire d'Art,19,City-wide,1,18000,,,,,,,,,,,,,,,,,,,,117000,
382,Le Th¨¦?tre fran?ais de Toronto,28,City-wide,1,117000,,,,,,,,,,,,,,,,,,,,5000,
383,Le Theatre La Tangente,22,City-wide,1,5000,,,,,,,,,,,,,,,,,,,,,
384,LEAF - Local Entertainment & Appreciation of Forests,21,City-wide,1,34500,,,34500,,,,,,,,,,,,,,,,,19100,
385,League of Canadian Poets,20,City-wide,1,19100,,,,,,,,,,,,,,,,,,,,,
386,Learning Disabilities Association Toronto,23,City-wide,1,59110,,,,,,,,59110,,,,,,,,,,,,13000,
387,Lemon Tree Theatre Creations,27,City-wide,1,13000,,,,,,,,,,,,,,,,,,,,2000,
388,Les Amis Concerts,27,City-wide,1,2000,,,,,,,,,,,,,,,,,,,,,
389,Les Centres d'Accueil Heritage,28,City-wide,1,59900,,,,,,,,59900,,,,,,,,,,,,,
390,Lesbian Gay Bi Trans Youth Line,28,City-wide,1,41790,,,,,,,,41790,,,,,,,,,,,,77000,
391,Liaison of Independent Filmakers of Toronto,18,City-wide,1,77000,,,,,,,,,,,,,,,,,,,,2000,
392,Literary Managers and Dramaturgs of the Americas,37,City-wide,1,2000,,,,,,,,,,,,,,,,,,,,7500,
393,Litmus Theatre Collective,19,City-wide,1,7500,,,,,,,,,,,,,,,,,,,,13000,
394,Little Pear Garden Collective,28,City-wide,1,13000,,,,,,,,,,,,,,,,,,,,10000,
395,Long Winter,19,City-wide,1,10000,,,,,,,,,,,,,,10000,,,,,,20000,
396,Lost Lyrics,20,Local,2,30000,,,,,,,,,,,,,,,,,,,,25000,
397,Lulu Music and Arts Centre,18,City-wide,1,25000,,,,,,,,,,,,,,,,,,,,,
398,Lumacare Services,10,City-wide,1,83940,,,,,,,,83940,,,,,,,,,,,,30000,
399,MABELLEarts,5,Local,1,30000,,,,,,,,,,,,,,,,,,,,5000,
400,Magazines Canada,20,City-wide,1,5000,,,,,,,,,,,,,,,,,,,,7200,
401,Malvern Family Resource Centre,42,Local,5,287880,,,43000,,,25000,,191680,,,21000,,,,,,,40000,,,
402,Malvern Stakeholder Group,42,Area services,2,115000,,,,,,,75000,,,,,,,,,,,,,35000,
403,Mammalian Diving Reflex,18,City-wide,1,35000,,,,,,,,,,,,,,,,,,,,35000,
404,Manifesto Community Projects,20,City Wide,1,35000,,,,,,,,,,,,,,,,,,,,8000,
405,Maracatu Mar Aberto,18,City-wide,1,8000,,,,,,,,,,,,,,,,,,,,27000,
406,Mariposa in the Schools,28,City-wide,1,27000,,,,,,,,,,,,,,,,,,,,10000,
407,Mashed Collective,29,Local,1,10000,,,,,,,,,,,,,,,,,,,,,
408,Massey Centre for Women,29,City Wide,1,26850,,,,,,,,26850,,,,,,,,,,,,32750,
409,Mayworks,20,City-wide,1,32750,,,,,,,,,,,,,,,,,,,,7000,
410,Media Arts Network of Ontario,20,City-wide,1,7000,,,,,,,,,,,,,,,,,,,,8000,
411,Median Contemporary,20,Area services,1,8000,,,,,,,,,,,,,,,,,,,,35000,
412,Menaka Thakkar Dance Company,20,City-wide,1,35000,,,,,,,,,,,,,,,,,,,,,
413,Mennonite New Life Centre of Toronto,32,Area services,1,45000,45000,,,,,,,,,,,,,,,,,,,70000,
414,Mercer Union ,18,City-wide,1,70000,,,,,,,,,,,,,,,,,,,,,
415,Metropolitan Action Committee on Violence Against Women & Children (METRAC),20,City-wide,1,304210,,,,,,,,304210,,,,,,,,,,,,6000,
416,Miles Nadal Jewish Community Centre,20,City-wide,1,6000,,,,,,,,,,,,,,,,,,,,18825,
417,Mixed Company,28,City-wide,1,18825,,,,,,,,,,,,,,,,,,,,7000,
418,MLC,27,City-wide,1,7000,,,,,,,,,,,,,,,,,,,,28000,
419,Modern Times Stage Company,27,City-wide,1,28000,,,,,,,,,,,,,,,,,,,,,
420,Momiji Health Care Society,36,City-wide,1,35485,,,,,,,,35485,,,,,,,,,,,,,
421,Mood Disorders Association of Ontario,16,City-wide,1,17290,,,,,,,,17290,,,,,,,,,,,,10300,
422,MOonhORsE dance theatre,28,City-wide,1,10300,,,,,,,,,,,,,,,,,,,,4000,
423,Mooredale Concerts,20,City-wide,1,4000,,,,,,,,,,,,,,,,,,,,11000,
424,Motion Live Collective,28,City-wide,1,11000,,,,,,,,,,,,,,,,,,,,6600,
425,Moveable Beast,17,City-wide,1,6600,,,,,,,,,,,,,,,,,,,,11000,
426,Muhtadi International Drumming Festival,32,City-wide,1,11000,,,,,,,,,,,,,,,,,,,,20000,
427,Mural Routes Inc.,36,City-wide,2,76500,,,,,,,,,,,56500,,,,,,,,,31000,
428,Music Africa of Canada Inc.,32,City-wide,1,31000,,,,,,,,,,,,,,,,,,,,,12500
429,"Music Garden, Harbourfront Centre ",20,City-Wide,1,12500,,,,,,,,,,,,,,,,,,,,5000,
430,Music Mondays Community Series,27,City-wide,1,5000,,,,,,,,,,,,,,,,,,,,86500,
431,Music Toronto,28,City-wide,1,86500,,,,,,,,,,,,,,,,,,,,10000,
432,Muslimah making Media,19,Local,1,10000,,,,,,,,,,,,,,,,,,,,9200,
433,My Body is My Canvas,23,Local,1,9200,,,,,,,,,,,,,,,,,,,,22000,
434,Nagata Shachu Japaneses Taiko and Music Garden,20,City-wide,1,22000,,,,,,,,,,,,,,,,1250000,,,,,
435,National Ballet of Canada ,20,City-wide,1,1250000,,,,,,,,,,,,,,,,,,,,7500,
436,National Shevchenko Musical Ensemble,15,City-wide,1,7500,,,,,,,,,,,,,,,,,,,,,
437,Native Canadian Centre of Toronto ,20,City-wide,2,96340,,,,,,18000,,78340,,,,,,,,,,,,,
438,Native Child and Family Services of Toronto,27,Area services,1,115125,,,,,,,,115125,,,,,,,,,,,,78000,
439,Native Earth Performing Arts,28,City-wide,1,78000,,,,,,,,,,,,,,,,,,,,16500,
440,Native Women in the Arts,20,City-wide,1,16500,,,,,,,,,,,,,,,,,,,,,
441,Native Women's Resource Centre of Toronto,27,Area services,1,88320,,,,,,,,88320,,,,,,,,,,,,100000,
442,Neighbourhood Arts Network ,20,City-wide,1,100000,,,,,,,,,,,,,,,,,,,,,
443,Neighbourhood Festival Group,11,Area Services,1,7000,,,,,7000,,,,,,,,98615,,,,,,,,
444,Neighbourhood Group Community Services,28,Area services,3,560965,,,,44000,,,,411350,,,,,,,,,,,,,
445,Neighbourhood Information Centre,28,Area services,2,147160,,,,,9000,,,138160,,,,,,,,,,,,13500,
446,New Adventures In Sound Art,21,Area services,1,13500,,,,,,,,,,,,,,,,,,,,,
447,New Canadian Community Centre,24,City-wide,1,43475,,,,,,,,43475,,,,,,,,,,,,55000,
448,New Music Concerts,20,City-wide,1,55000,,,,,,,,,,,,,,,,,,,,10000,
449,Newcomer Girls Action Committee,30,Local,1,10000,,,,,,,,,,,,,,,,,,,,,
450,Newcomers Women's Services Toronto,30,City-wide,1,41480,,,,,,,,41480,,,,,,,,,,,,41000,
451,NIA Centre for the Arts,33,Area services,2,74000,,,,33000,,,,,,,,,,,,,,,,17000,
452,Nightswimming,28,City-wide,1,17000,,,,,,,,,,,,,,,,,,,,73000,
453,Nightwood Theatre,27,City-wide,1,73000,,,,,,,,,,,,,,,,,,,,,
454,Nikki Knows,28,Area services,1,46000,46000,,,,,,,,,,,,,,,,,,,,
455,NIP- Newcomer Information Post,28,City-wide,1,39740,,,,,,,,39740,,,,,,,,,,,,2000,
456,No 9 Contemporary Art and the Environment,20,City-wide,1,2000,,,,,,,,,,,,,,,174240,,,,,,
457,North York Arts,23,City Wide,1,174240,,,,,,,,,,,,,,,,,,,,,
458,North York Community House,15,Area services,1,125920,,,,,,,,125920,,,,,,,,,,,,,
459,North York Harvest Food Bank,15,Area Services,1,23045,,,,,,,,23045,,,,,,,,,,,,,
460,North York Seniors Centre,23,Area services,1,89635,,,,,,,,89635,,,,,,,,,,,,,
461,North York Womens Resource Centre,15,Area services,1,49235,,,,,,,,49235,,,,,,,,,,,,58000,
462,Northern Visions Independent Film & Video Organization,20,City-wide,1,58000,,,,,,,,,,,,,,,,,,,,,
463,Northwood Neighbourhood Services,11,Area services,1,45635,,,,,,,,45635,,,,,,,,,,,,50000,
464,Obsidian Theatre Company,20,City-wide,1,50000,,,,,,,,,,,,,,,,,,,,4000,
465,On the MOVE,27,City-wide,1,4000,,,,,,,,,,,,,,,,,,,,1500,
466,One Little Goat Theatre Company,20,City-wide,1,1500,,,,,,,,,,,,,,,,,,,,24000,
467,Ontario Association of Art Galleries,20,City-wide,1,24000,,,,,,,,,,,,,,,,,,,,,
468,Ontario Community Centre for the Deaf (The),25,City-wide,1,13290,,,,,,,,13290,,,,,,,,,,45000,,,
469,Ontario Council of Agencies Serving Immigrants (OCASI),16,City-wide,3,97675,25000,,,,,,,27675,,,,,,,,,,,,,
470,Ontario Historical Society,23,Local,1,10000,,,,,,,,,,,,10000,,,,,,,,,
471,Ontario Justice Education Networt/Reseau Ontarien D'Education Juridicue,27,City-wide,1,40000,,,,40000,,,,,,,,,,,,,,,,50000,
472,ONTARIO PRESENTS,20,Local,1,50000,,,,,,,,,,,,,,,,,,,,8000,
473,Open Book Foundation,20,City-wide,1,8000,,,,,,,,,,,,,,,,,,,,2900,
474,Open Door Storytelling Project,29,City-wide,1,2900,,,,,,,,,,,,,,,,,,,,6000,
475,Open Roof Films Entertainment Inc.,18,City-wide,1,6000,,,,,,,,,,,,,,,,,,,,73000,
476,Open Studio,20,City-wide,1,73000,,,,,,,,,,,,,,,,,,,,140000,
477,Opera Atelier,27,City-wide,1,140000,,,,,,,,,,,,,,,,,,,,8000,
478,Opera Five Inc.,27,City-wide,1,8000,,,,,,,,,,,,,,,,,,,,30000,
479,Opera In Concert,28,City-wide,1,30000,,,,,,,,,,,,,,,,,,,,,
480,Operation Springboard,27,City-wide,1,36000,,,,36000,,,,,,,,,,,,,,,,,
481,Opportunity for Advancement,20,City-wide,1,46080,,,,,,,,46080,,,,,,,,,,,,21000,
482,Orchestra Toronto,23,City-wide,1,21000,,,,,,,,,,,,,,,,,,,,9400,
483,Oriana Women's Choir,22,City-wide,1,9400,,,,,,,,,,,,,,,,,,,,20000,
484,Orpheus Choir of Toronto,22,City-wide,1,20000,,,,,,,,,,,,,,,,,,,,15000,
485,Outside Looking In,28,City Wide,1,15000,,,,,,,,,,,,,,,,,,,,,
486,PAL-Reading Services Inc. ,27,City-wide,1,15330,,,,,,,,15330,,,,,,,,,,,,9000,
487,Pan Trinbago Steelband Assoc. of Ontario,29,City-wide,1,9000,,,,,,,,,,,,,,,,,,,,3500,
488,Pandemic Theatre,20,City-wide,1,3500,,,,,,,,,,,,,,,,,,,,15000,
489,Paprika Festival,18,City-wide,1,15000,,,,,,,,,,,,,,,,,,,,4200,
490,Paradigm Productions,28,City-wide,1,4200,,,,,,,,,,,,,,,,,,,,10000,
491,Parkdale Activity Recreation Centre,14,Local,1,10000,,,,,,,,,,,,,,,,,,,,2000,
492,Parkdale Beauty Pageant Society,14,Local,1,2000,,,,,,,,,,,,,,,,,,,,,
493,Parkdale Community Information Centre,14,Local,1,26690,,,,,,,,26690,,,,,,,,,,,,,
494,Parkdale Golden Age Foundation,14,Area services,1,56000,,,,,,,,56000,,,,,,,,,,,,,
495,Parkdale Intercultural Association (Toronto),14,Local,1,68635,,,,,,,,68635,,,,,,,,,,,,5000,
496,Parkdale Village Arts Collective,14,City-wide,1,5000,,,,,,,,,,,,,,,,,,,,,
497,Passerelle Int¨¦gration et D¨¦veloppement ?conomiques,27,City-wide,3,112500,30000,,,,,20000,,62500,,,,,,,,,,,,15000,
498,Pax Christi Chorale,23,City-wide,1,15000,,,,,,,,,,,,,,,,,,,,3500,
499,Pea Green Theatre Group,17,City-wide,1,3500,,,,,,,,,,,,,,,,,,,,22500,
500,Peggy Baker Dance Projects,28,City-wide,1,22500,,,,,,,,,,,,,,,,,,,,6300,
501,People of the Motherland-A World of Cultures,30,City-wide,1,6300,,,,,,,,,,,,,,,,,,,,10000,
502,Piece of Mine Festival,15,Local,1,10000,,,,,,,,,,,,,,,,,,,,5000,
503,Pigeon Collective,14,Local,1,5000,,,,,,,,,,,,,,,,,,,,3500,
504,Pink Pluto,27,City-wide,1,3500,,,,,,,,,,,,,,,,,,,,7000,
505,Pivot Reading Series,20,City-wide,1,7000,,,,,,,,,,,,,,,,,,,,35000,
506,Planet In Focus,20,City-wide,1,35000,,,,,,,,,,,,,,,,,,,,2800,
507,Plasticine Poetry Series Association,19,City-wide,1,2800,,,,,,,,,,,,,,,,,,,,348000,
508,Platform A Collaborative Partnership,15,Area Services,1,348000,,,,,,,,,,,,,,,,,,,,23000,
509,Playwrights Guild of Canada,20,City-wide,1,23000,,,,,,,,,,,,,,,,,,,,33000,
510,Pleiades Theatre,28,City-wide,1,33000,,,,,,,,,,,,,,,,,,,,4000,
511,Pocket Community Association,30,Local,1,4000,,,,,,,,,,,,,,,,,,,,,
512,Polycultural Immigrant and Community Services,3,Area Services,1,28670,,,,,,,,28670,,,,,,,,,,,,12000,
513,pounds per square inch performance,28,City-wide,1,12000,,,,,,,,,,,,,,,,,,,,34000,
514,Prefix Institute of Contemporary Art,20,City-wide,1,34000,,,,,,,,,,,,,,,,160500,,,,,
515,Pride Toronto ,27,City-wide,1,160500,,,,,,,,,,,,,,,,,,,,42000,
516,princess productions,28,City-wide,1,42000,,,,,,,,,,,,,,,,,,,,15000,
517,ProArteDanza,20,City-wide,1,15000,,,,,,,,,,,,,,,,,,,,6000,
518,Professional Association of Canadian Theatre,20,City-wide,1,6000,,,,,,,,,,,,,,,,,,,,9000,
519,Project Creative Users,19,City-wide,1,9000,,,,,,,,,,,,,,,,,,,,35000,
520,Prologue to the Performing Arts,28,City-wide,1,35000,,,,,,,,,,,,,,,,,,,,,
521,Promoting Education and Community Health (PEACH) ,7,Area services,2,103920,,,,45000,,,,58920,,,,,,,,,,,,,
522,Prosserman Jewish Community Centre,10,City-wide,1,13160,,,,,,,,13160,,,,,,,,,,,,15000,
523,Public Recordings Performance Projects,17,City-wide,1,15000,,,,,,,,,,,,,,,,,,,,20000,
524,Puppetmongers,30,City-wide,1,20000,,,,,,,,,,,,,,,,,,30000,,,
525,Queen's Plate,2,Area Services,1,30000,,,,,,,,,,,,,,,,,,,,3000,
526,Queer Songbook Orchestra,19,Local,1,3000,,,,,,,,,,,,,,,,,,,,5000,
527,Quip Take ,21,City-wide,1,5000,,,,,,,,,,,,,,,,,,,,4000,
528,Quote Unquote Collective,13,City-wide,1,4000,,,,,,,,,,,,,,,,,,,,6000,
529,Raging Asian Women Taiko Drummers,21,City-wide,1,6000,,,,,,,,,,,,,,,,,,,,2500,
530,Rainbow Association of Canadian Artists,27,City-wide,1,2500,,,,,,,,,,,,,,,,,,,,,
531,Ralph Thornton Centre,30,Local,2,73585,40000,,,,,,,33585,,,,,,,,,,,,7250,
532,Rear View Curatorial Collective,18,City-wide,1,7250,,,,,,,,,,,,,,,,,,,,15000,
533,Red Dress Productions,28,Local,1,15000,,,,,,,,,,,,,,,,,,,,29000,
534,Red Pepper Spectacle Arts,20,City-wide,1,29000,,,,,,,,,,,,,,,,,,,,33000,
535,Red Sky Performance,20,City-wide,1,33000,,,,,,,,,,,,,,,,,,,,8000,
536,Red Slam,27,City-wide,1,8000,,,,,,,,,,,,,,,,,,,,15000,
537,Red Snow Collective,34,City-wide,1,15000,,,,,,,,,,,,,,,,,,,,21000,
538,Regent Park Film Festival Inc,28,Local,1,21000,,,,,,,,,,,,,,,,,,,,30000,
539,Regent Park Focus,28,City-wide,1,30000,,,,,,,,,,,,,,,,,,,,20000,
540,Regent Park School of Music,28,Area services,1,20000,,,,,,,,,,,,,,10000,,,,,,,
541,Remix Project (The),14,City-wide,1,10000,,,,,,,,,,,,,,,,,,,,15000,
542,Revolutions per Minute (RPM),20,City-wide,1,15000,,,,,,,,,,,,,,,,,,,,5700,
543,reWork Productions,19,City-wide,1,5700,,,,,,,,,,,,,,,,,,,,,
544,REX Pride,1,Area Services,1,35000,35000,,,,,,,,,,,,,,,,,,,,
545,Rexdale Community Health Centre,2,Area services,2,169750,,,,,,,,149750,,,20000,,,,,,,45000,,,
546,Rexdale Community Hub,1,Area Services,1,45000,,,,,,,,,,,,,,,,,,,,,
547,Rexdale Women's Centre,1,Area services,3,98690,,,36500,,8500,,,53690,,,,,,,,,,,,7000,
548,Right Path Community Centre,9,City-wide,1,7000,,,,,,,,,,,,,,10000,,,,,,10000,
